platform	key	product_name	articles	article_count	ranks
amazon	B00I0Q8VVG	【楽天1位】遮光/遮熱モデル追加！FIELDOOR ワンタッチタープテント 3m×3m 頑丈 スチール テント タープ 300 3.0m ワンタッチテント ワンタッチタープ ワンタッチ 大型 簡単 UVカット 撥水 日よけ プール イベント アウトドア キャンプ BBQ 1年保証 ★[送料無料]	day-camp-tarp-cheap;fieldoor-tent;one-touch-tarp	3	1;2;1
amazon	B00I0Q9XRW	FIELDOOR ワンタッチタープテント 2.5m×2.5m スチール UVカット 撥水	fieldoor-tent;one-touch-tarp	2	4;2
amazon	B00IM50T1A	morso 薪ストーブ グローブ 右手用 左手用 革 手袋 片手 焚き火 焚火 薪 耐熱 アクセサリー 黒 暖炉 バーベキュー BBQ キャンプ アウトドア やけど 火傷 安全 モルソー	fireproof-gloves	1	4
amazon	B00IPNJ24Y	マルカ 湯たんぽ Aエース 3.5L A-35（大容量・直火/IH対応）	hot-water-bottle	1	3
amazon	B00IT4F9C8	イスカ ISUKA ウェザーテック シュラフカバー スーパーライト ネイビーブルー 201621	sleeping-bag-cover	1	2
amazon	B00JYCRZ80	スノーピーク 焚火台Mスターターセット SET-111	snowpeak-bonfire	1	4
amazon	B00K712YII	SOTO マイクロレギュレーターストーブ ウインドマスター SOD-310 4本ゴトクセット	soto-burner	1	1
amazon	B00KBNUSI0	YAZAWA 防水スプレー 420ml 1本 大容量 テント バッグ 革製品兼用	tent-waterproof-spray	1	3
amazon	B00KVTQDX8	村の鍛冶屋 ペグ収納マルチコンテナボックス	gear-storage-box	1	4
amazon	B00Q78WQF6	ペツル ピクサ3	petzl-headlight	1	5
amazon	B00SLOACVE	コールマン (Coleman) パワーハウスLPツーバーナーストーブII(レッド) キャンプ用品 ガスバーナー レッド 2000021950	coleman-two-burner	1	3
amazon	B00SOJJFZU	サイバトロン バックパック3Pタクティカル バックパック サイドポーチx2個 防水 軽量 ヒロシさん使用モデル ブッシュクラフト アウトドア キャンプ アサルト ミリタリー U.Sタイプ リュック デイパック	camp-backpack-beginner	1	1
